user_id,movie_id,rating
3,2492,5
3,2479,2
3,2467,3
5,3618,3
5,4221,4
5,3486,5
5,4652,3
5,3777,1
5,3595,4
5,3223,2
5,2861,1
5,2784,3
5,4017,5
5,2432,3
5,4945,4
5,3383,2
5,5005,4
5,2965,3
5,2662,3
5,3005,3
5,2785,2
5,3497,1
5,2791,1
5,4287,3
5,4881,3
5,2553,2
5,3061,5
5,5141,5
5,3199,5
5,4663,3
5,5131,4
5,4931,1
5,2449,3
5,4424,4
5,2763,2
5,4020,4
5,3770,3
5,2886,3
5,2974,4
5,3253,5
5,2526,5
5,4216,1
5,2756,2
5,3965,1
5,3270,2
5,4314,5
5,4804,2
5,3957,2
5,4088,3
5,4099,2
6,3575,1
6,2797,5
6,2853,3
6,2838,2
6,4344,4
6,2538,5
6,2873,1
6,3725,4
6,4096,1
6,2954,1
6,4683,1
6,2561,5
6,3101,4
6,4394,4
6,5130,5
7,2471,5
7,2608,3
7,3147,2
7,4392,5
7,4942,5
7,2840,1
7,3699,3
7,4468,4
7,2813,4
7,3137,4
7,4145,5
7,4659,2
7,4451,1
7,3917,5
7,3218,2
7,3649,1
7,5094,3
7,3322,1
7,4928,4
7,3499,2
7,2931,1
7,4971,4
7,4242,4
7,2678,5
7,4752,3
7,3519,5
7,4749,3
7,2436,5
7,4784,5
7,2675,2
7,2760,1
7,3335,2
7,2973,4
8,3676,5
8,4886,3
8,3884,1
8,4227,1
8,2775,4
8,3293,4
8,2718,2
8,2451,1
8,3877,1
8,2865,4
8,4233,5
8,2797,4
8,3553,5
8,3890,3
8,3049,2
8,4611,3
8,3439,3
8,2452,5
8,3935,5
8,2778,5
8,2454,1
8,5077,1
8,5020,4
8,2585,5
8,4050,4
8,2457,4
8,3719,3
8,2731,5
8,2538,2
8,4363,4
8,3749,4
8,3959,2
8,4768,2
8,4784,4
8,4175,4
8,3373,2
8,2840,5
8,3698,2
8,3630,4
8,3043,1
8,2634,5
8,3695,1
8,2645,4
8,3729,5
8,5124,2
9,3831,3
9,4392,4
9,4319,3
9,4046,4
9,2456,2
9,2512,4
9,3683,2
9,4740,1
9,3006,2
9,5093,2
9,3190,5
9,3452,2
9,2659,3
9,5038,5
9,2607,4
9,3735,5
9,3553,4
9,4426,1
9,4580,5
9,5154,4
9,2674,4
9,4037,5
9,3823,3
9,3262,2
9,4591,4
9,4109,3
9,4690,5
9,3545,2
9,2688,4
9,3070,3
9,2926,3
9,2629,3
9,4501,4
9,3554,2
10,4297,1
10,2835,1
10,3081,2
10,3221,4
10,3872,1
10,2991,5
10,2915,4
10,3327,4
10,2916,3
10,3018,1
10,4402,5
10,4159,1
10,4493,2
10,3287,2
10,2776,3
10,5087,2
10,3573,4
10,4494,1
10,4821,5
10,3430,5
10,3279,3
10,2833,1
11,4172,4
11,3033,3
11,4464,3
11,4997,1
11,2890,1
11,2603,3
11,2830,1
11,4972,3
11,3280,5
11,4485,3
11,4805,3
11,4858,1
11,4000,2
11,4234,3
11,5098,1
11,4969,3
11,4690,4
11,4240,5
11,4932,2
11,4044,2
11,2676,1
11,4057,1
11,3140,1
12,3470,5
12,3033,1
12,4664,4
12,2620,3
12,2992,4
12,2653,5
12,4913,2
12,2850,3
12,3644,2
12,3287,5
12,3630,4
12,2674,3
12,3484,4
12,4254,2
12,3265,4
12,2546,5
13,3715,5
13,3795,3
13,2821,5
13,4006,1
13,3088,4
13,3261,5
13,4100,4
13,2416,4
13,3861,3
13,4227,2
13,4647,3
13,3804,2
13,4948,1
13,3927,3
13,3843,4
13,4152,4
13,3226,5
13,3222,1
13,3346,1
13,4653,4
13,3813,3
13,4561,5
13,4955,2
14,3023,5
14,3069,3
14,3243,3
14,4935,4
14,2751,3
14,2447,2
14,3395,3
14,3684,3
14,4110,2
14,2941,2
14,3755,1
14,3730,5
14,3099,5
14,2863,1
14,2923,4
14,4401,1
14,3060,5
14,4179,4
14,2836,5
14,4521,2
14,2789,1
14,3990,1
14,2688,3
14,3526,2
14,4034,2
14,4357,1
14,4670,5
14,4590,5
14,4038,5
14,2735,4
14,4498,3
14,2600,4
14,5004,4
14,5136,5
14,3650,2
14,3587,3
14,2925,5
14,2412,5
14,3987,5
14,3835,2
14,3591,4
14,2699,4
14,4940,1
15,4533,3
15,4993,3
15,2523,3
15,3030,2
15,4321,1
15,4374,4
15,4385,1
15,5020,1
15,4498,2
15,3045,4
15,3748,1
15,4213,2
15,3311,2
15,4234,4
15,4112,1
15,4323,2
15,3544,3
15,2435,4
15,3651,1
15,3980,4
15,4649,4
15,4769,5
15,3673,4
15,4245,1
15,5040,2
15,4800,5
15,3625,3
15,3348,4
15,2767,5
15,3002,3
15,4130,2
15,3266,5
15,4883,1
15,3761,2
15,3367,2
15,3096,3
15,3690,4
15,3063,1
16,3611,3
16,3928,4
16,3091,5
16,4823,3
16,3160,2
16,3561,2
16,4153,5
16,3576,3
16,3472,2
16,3495,2
16,3065,1
16,4946,2
16,2986,5
17,4843,4
17,3477,1
17,4179,1
17,3129,4
17,3957,5
17,4455,3
17,2693,1
17,4871,5
17,3052,5
17,4838,3
17,3491,2
17,4204,5
17,2872,1
17,4493,1
17,2858,1
17,5097,1
17,2540,4
18,4895,1
18,4164,2
18,3629,1
18,2686,2
18,4393,2
18,3021,4
18,4983,4
18,4978,5
18,2931,5
18,3943,4
19,4288,2
19,3957,4
19,4342,3
19,2769,5
19,4489,4
19,3089,1
19,4501,4
19,3455,2
19,3975,3
19,5001,2
19,2839,1
19,3259,2
19,4145,4
19,3808,2
19,5108,3
19,3136,4
20,2702,3
20,3011,3
20,4813,2
20,4001,5
20,3508,5
20,3631,4
20,3426,3
20,4486,3
20,3177,4
20,3119,3
20,3813,3
20,3735,5
20,4121,3
20,3232,1
20,3564,4
20,2704,4
20,5096,3
20,4684,2
20,2681,2
20,3951,3
20,4397,1
20,3713,3
20,3270,1
20,4693,1
20,2451,4
20,4164,1
20,3241,1
20,4854,1
20,2463,3
20,4630,5
20,4923,4
20,4180,1
20,3925,5
20,2862,1
20,5042,1
20,2452,5
20,4598,5
20,2542,1
20,2666,4
20,2710,1
20,2689,2
20,3147,3
20,3657,3
21,2614,4
21,2612,3
21,4257,3
21,4557,2
21,4676,4
21,2446,2
21,4501,5
21,4677,3
21,2774,4
21,2889,3
21,3682,3
21,2686,2
21,3606,1
21,3381,4
21,4320,4
21,2516,3
21,3584,5
21,4759,2
21,4381,1
21,2585,2
21,3868,1
21,3061,1
21,4889,2
21,3271,2
21,3195,5
21,2996,1
21,3912,1
21,3785,3
22,5081,2
22,2428,3
22,2999,5
22,5034,4
22,4341,5
22,2801,4
22,2676,3
22,4097,3
22,2657,5
22,3268,2
22,2986,4
22,2407,5
22,3372,5
22,3964,4
22,3403,2
22,4608,1
22,3354,4
22,4836,4
22,3515,5
22,4044,3
22,4972,5
22,3463,3
22,2790,4
22,4434,4
22,3228,2
22,3018,3
22,4884,4
22,4375,1
22,2767,2
22,2949,3
22,2552,4
22,3823,3
22,3818,2
22,4361,3
22,3489,5
22,2500,3
23,3640,2
23,3893,2
23,4060,1
23,3074,1
23,3497,2
23,4110,1
23,3799,1
23,3021,4
23,3391,4
23,4634,2
23,4621,4
23,3855,3
23,2730,2
23,4525,2
23,2704,1
23,3751,4
23,4668,5
23,2911,1
23,3143,5
23,4299,2
23,2522,5
23,4526,4
23,3180,4
23,4859,1
23,2747,2
23,3905,1
23,4328,4
23,4812,3
23,3351,4
23,4742,1
23,3689,3
23,2679,4
23,4755,4
23,5033,5
23,4224,3
23,3606,3
23,4235,5
23,4517,1
23,3235,1
23,4274,3
23,4106,1
23,3064,4
23,3985,3
23,3012,4
23,3120,1
23,4620,5
23,3341,4
23,3094,1
24,4594,2
24,2464,2
24,3196,4
24,4787,5
24,2450,2
24,4970,1
24,3764,5
24,2729,4
24,3912,5
24,2885,1
24,3693,2
24,5054,5
24,3750,5
24,3070,2
24,3883,5
24,3667,2
24,4026,4
24,2589,4
24,2749,3
24,3721,3
24,2763,1
24,4750,1
24,4246,2
24,4423,2
24,3299,2
24,4258,1
24,2421,4
24,5086,3
24,4980,3
24,4617,2
24,4093,2
24,3289,5
24,2899,2
24,2609,2
24,4623,1
24,5165,2
24,3066,1
24,3215,4
24,3716,4
24,5128,1
24,4592,4
24,3977,3
24,2591,3
24,3587,1
24,2664,2
24,5080,1
24,2494,5
25,2839,1
25,4295,3
25,2909,4
25,4550,2
25,3037,4
25,4667,1
25,4975,1
25,5139,3
25,4847,1
25,3171,2
25,3698,2
25,4624,2
25,5130,5
25,4623,5
25,3669,3
25,4069,3
25,4381,2
25,4867,4
25,2569,5
25,3934,1
25,4369,1
25,3116,4
25,5121,5
26,4324,4
26,4948,5
26,2718,3
26,3097,2
26,3927,2
26,4340,5
26,2748,5
26,3655,5
26,2589,1
26,3848,2
26,3136,1
26,3138,5
26,2669,3
26,2849,4
26,3831,5
26,2802,2
26,4401,4
26,3507,5
26,4256,2
26,4326,4
26,4480,1
26,2768,3
26,4934,5
26,3599,1
26,3616,4
26,3656,1
26,3098,3
26,3114,2
26,3239,5
27,3057,1
27,3906,2
27,2781,3
27,3276,1
27,4010,2
27,3440,4
27,4313,2
27,2959,4
27,3852,5
27,3942,4
27,2503,3
27,4748,4
27,3368,4
27,4984,2
27,4581,1
27,3786,3
27,5167,1
27,2957,3
27,3591,4
27,5155,2
27,4363,1
27,4895,4
27,3581,5
27,4470,4
27,5070,4
27,4831,3
27,2831,3
27,4414,3
27,3305,2
27,4837,1
28,4288,3
28,3923,3
28,2570,3
28,2999,5
28,4662,1
28,3917,5
28,3433,3
28,4339,1
28,4709,3
28,4981,5
28,4203,3
28,3028,3
28,2921,5
28,4051,1
28,3151,3
28,2577,2
28,2809,1
28,2670,3
28,3377,2
28,2727,3
28,4312,2
28,3761,5
28,2855,3
28,5132,3
28,4351,5
28,3476,4
29,2632,4
29,3054,1
29,5139,3
29,3036,1
29,3204,1
29,3754,4
29,4741,3
29,2424,4
29,3331,4
29,3668,4
29,3171,5
29,4063,3
29,4833,1
29,4974,1
29,4308,2
29,3554,3
29,2739,5
29,2541,4
29,3211,1
29,3352,1
29,2586,4
29,4964,3
29,4832,2
29,4654,4
29,2598,5
29,4432,4
29,3750,2
29,4742,5
29,4204,4
29,3283,2
29,4028,3
29,4783,3
29,3304,5
30,2708,5
30,4038,4
30,3815,1
30,3784,1
30,2942,1
30,2724,1
30,3026,2
30,2828,1
30,4527,3
30,3247,3
30,2620,1
30,3629,1
30,3276,2
30,4468,2
30,4907,5
30,4189,4
30,3944,3
30,3576,1
30,3090,3
30,3478,5
31,2667,5
31,3185,5
31,3124,4
31,4362,2
31,5120,5
31,4413,1
31,2858,1
31,4602,2
31,4287,4
31,4546,1
31,3345,4
31,4469,5
31,2681,5
31,2957,5
31,4200,2
31,2799,1
31,3033,5
31,4261,5
31,3916,3
31,4010,5
31,3633,3
31,4105,1
31,3523,3
31,4273,3
31,3733,4
31,4440,3
31,4324,4
31,2784,5
31,2405,4
31,2448,3
31,3068,3
31,3496,3
31,4530,1
31,3204,1
31,2419,4
31,3945,1
31,3728,1
31,4462,1
31,3398,1
31,4536,4
31,2849,4
31,2997,2
31,4294,1
31,2767,2
31,3664,4
31,3314,2
31,2683,3
32,4888,1
32,3656,1
32,3210,3
32,3299,4
32,4025,5
32,4541,3
32,4052,1
32,3592,3
32,4242,5
32,4540,1
32,3566,2
32,4482,4
32,3158,5
32,3731,4
32,4344,4
32,3463,4
32,4567,5
32,3553,2
32,2474,3
32,4140,3
32,3241,4
32,3157,4
32,3182,3
32,3509,2
32,4450,2
32,2439,5
32,2969,3
32,3826,4
32,4210,5
32,2830,5
32,3159,4
32,4792,3
32,2784,4
32,5031,5
32,2953,1
32,2555,2
32,4898,5
32,3740,5
32,3448,2
32,4318,3
32,4884,1
32,3313,2
32,3284,2
32,2556,3
32,4115,4
33,3822,4
33,3010,5
33,4061,2
33,4127,5
33,4802,5
33,2516,3
33,4545,5
33,3027,2
33,3818,5
33,3092,1
33,2817,3
33,4998,2
33,3879,2
33,2568,5
33,3841,5
33,4294,5
33,4090,4
33,2480,3
33,3531,4
33,4427,4
33,4925,2
33,3379,2
33,3190,1
33,4290,3
33,3698,3
33,3926,1
33,4843,5
33,4561,1
33,5015,4
33,2764,2
33,2608,3
33,2695,2
34,5014,3
34,2978,2
34,4645,2
34,2990,4
34,2558,2
34,5129,2
34,4674,1
34,2699,5
34,3034,1
34,2864,5
34,3859,3
34,5017,3
34,3280,3
34,3332,1
34,3768,3
34,3922,5
34,3882,4
34,3630,3
34,2543,3
34,4137,3
34,4703,4
34,2634,1
34,3766,1
34,2646,1
35,4816,4
35,3224,2
